id~dateiname~universitaet~semester~beginn~ende~quelle~status_komplett~titel
1860s~1860s.xml~Zürich~Sommer~1860~1860~Verzeichniss der Vorlesungen an der Universität Zürich im Sommer-Semester 1860. Anfang am 16. April, Schluss am 18. August, Zürich: Zürcher und Furrer, 1860.~ja~Sommersemester 1860
1860w~1860w.xml~Zürich~Winter~1860~1861~Verzeichniss der Vorlesungen an der Universität Zürich im Winter-Semester 1860/61. Anfang am 15. October 1860, Schluss am 23. März 1861, Zürich: Zürcher und Furrer, 1860.~ja~Wintersemester 1860/61
1861s~1861s.xml~Zürich~Sommer~1861~1861~Verzeichniss der Vorlesungen an der Universität Zürich im Sommer-Semester 1861. Anfang am 15. April, Schluss am 17. August, Zürich: Zürcher und Furrer, 1861.~ja~Sommersemester 1861
1861w~1861w.xml~Zürich~Winter~1861~1862~Verzeichniss der Vorlesungen an der Universität Zürich im Winter-Semester 1861/62. Anfang am 14. October 1861, Schluss am 17. März 1862, Zürich: Zürcher und Furrer, 1861.~ja~Wintersemester 1861/62
1862s~1862s.xml~Zürich~Sommer~1862~1862~Verzeichniss der Vorlesungen an der Universität Zürich im Sommer-Semester 1862. Anfang am 14. April, Schluss am 16. August, Zürich: Zürcher und Furrer, 1862.~ja~Sommersemester 1862
1862w~1862w.xml~Zürich~Winter~1862~1863~Verzeichniss der Vorlesungen an der Universität Zürich im Winter-Semester 1862/63. Anfang am 13. October, Schluss am 21. März, Zürich: Zürcher und Furrer, 1862.~ja~Wintersemester 1862/63
1863s~1863s.xml~Zürich~Sommer~1863~1863~Verzeichniss der Vorlesungen an der Universität Zürich im Sommer-Semester 1863. Anfang am 13. April, Schluss am 15. August, Zürich: Zürcher und Furrer, 1863.~ja~Sommersemester 1863
1863w~1863w.xml~Zürich~Winter~1863~1864~Verzeichniss der Vorlesungen an der Universität Zürich im Winter-Semester 1863/64. Anfang am 12. Oktober, Schluss am 19. März, Zürich: Zürcher und Furrer, 1863.~ja~Wintersemester 1863/64
1864s~1864s.xml~Zürich~Sommer~1864~1864~Verzeichniss der Vorlesungen an der Universität Zürich im Sommer-Semester 1864. Anfang am 11. April, Schluss am 17. August, Zürich: Zürcher und Furrer, 1864.~ja~Sommersemester 1864
1864w~1864w.xml~Zürich~Winter~1864~1865~Verzeichniss der Vorlesungen an der Universität Zürich im Winter-Semester 1864/65. Anfang am 24. October 1864, Schluss am 25. März 1865, Zürich: Zürcher und Furrer, 1864.~ja~Wintersemester 1864/65
1865s~1865s.xml~Zürich~Sommer~1865~1865~Verzeichniss der Vorlesungen an der Universität Zürich im Sommer-Semester 1865. Anfang am 18. April, Schluss am 19. August 1865, Zürich: Zürcher und Furrer, 1865.~ja~Sommersemester 1865
1865w~1865w.xml~Zürich~Winter~1865~1866~Verzeichniss der Vorlesungen an der Universität Zürich im Winter-Semester 1865/66. Anfang am 23. October 1865, Schluss am 24. März 1866, Zürich: Zürcher und Furrer, 1865.~ja~Wintersemester 1865/66
1866s~1866s.xml~Zürich~Sommer~1866~1866~Verzeichniss der Vorlesungen an der Universität Zürich im Sommer-Semester 1866. Anfang am 16. April, Schluss am 18. August, Zürich: Zürcher und Furrer, 1866.~ja~Sommersemester 1866
1866w~1866w.xml~Zürich~Winter~1866~1867~Verzeichniss der Vorlesungen an der Universität Zürich im Winter-Semester 1866/67. Anfang am 23. October 1866, Schluss am 22. März 1867, Zürich: Zürcher und Furrer, 1866.~ja~Wintersemester 1866/67
1867s~1867s.xml~Zürich~Sommer~1867~1867~Verzeichniss der Vorlesungen an der Universität Zürich im Sommer-Semester 1867. Anfang am 15. April 1867, Schluss am 17. August 1867, Zürich: Zürcher und Furrer, 1867.~ja~Sommersemester 1867
1867w~1867w.xml~Zürich~Winter~1867~1868~Verzeichniss der Vorlesungen an der Universität Zürich im Winter-Semester 1867/68. Anfang am 22. October 1867, Schluss am 21. März 1868, Zürich: Zürcher und Furrer, 1867.~ja~Wintersemester 1867/68
1868s~1868s.xml~Zürich~Sommer~1868~1868~Verzeichniss der Vorlesungen an der Universität Zürich im Sommer-Semester 1868. Anfang am 14. April 1868, Schluss am 15. August 1868, Zürich: Zürcher und Furrer, 1868.~ja~Sommersemester 1868
1868w~1868w.xml~Zürich~Winter~1868~1869~Verzeichniss der Vorlesungen an der Universität Zürich im Winter-Semester 1868/69. Anfang am 19. October 1868, Schluss am 20. März 1869, Zürich: Zürcher und Furrer, 1868.~ja~Wintersemester 1868/69
1869s~1869s.xml~Zürich~Sommer~1869~1869~Verzeichniss der Vorlesungen an der Universität Zürich im Sommer-Semester 1869. Anfang am 12. April 1869, Schluss am 14. August 1869, Zürich: Zürcher und Furrer, 1869.~ja~Sommersemester 1869
1869w~1869w.xml~Zürich~Winter~1869~1870~Verzeichniss der Vorlesungen an der Universität Zürich im Winter-Semester 1869/70. Anfang am 19. October 1869, Schluss am 24. März 1870, Zürich: Zürcher und Furrer, 1869.~ja~Wintersemester 1869/70
1870s~1870s.xml~Zürich~Sommer~1870~1870~Verzeichniss der Vorlesungen an der Universität Zürich im Sommer-Semester 1870. Anfang am 19. April, Schluss am 20. August 1870, Zürich: Zürcher und Furrer, 1870.~ja~Sommersemester 1870
1870w~1870w.xml~Zürich~Winter~1870~1871~Verzeichniss der Vorlesungen an der Universität Zürich im Winter-Semester 1870/71. Anfang am 18. October 1870, Schluss am 23. März 1871, Zürich: Zürcher und Furrer, 1870.~ja~Wintersemester 1870/71
1871s~1871s.xml~Zürich~Sommer~1871~1871~Verzeichniss der Vorlesungen an der Universität Zürich im Sommer-Semester 1871. Anfang am 17. April 1871, Schluss am 19. August 1871, Zürich: Zürcher und Furrer, 1871.~ja~Sommersemester 1871
1871w~1871w.xml~Zürich~Winter~1871~1872~Verzeichniss der Vorlesungen an der Universität Zürich im Winter-Semester 1871/72. Anfang am 16. October 1871, Schluss am 24. März 1872, Zürich: Zürcher und Furrer, 1871.~ja~Wintersemester 1871/72
1872s~1872s.xml~Zürich~Sommer~1872~1872~Verzeichniss der Vorlesungen an der Universität Zürich im Sommer-Semester 1872. Anfang am 16. April 1872, Schluss am 17. August 1872, Zürich: Zürcher und Furrer, 1872.~ja~Sommersemester 1872
1872w~1872w.xml~Zürich~Winter~1872~1873~Verzeichniss der Vorlesungen an der Universität Zürich im Winter-Semester 1872/73. Anfang am 22. October 1872, Schluss am 22. März 1873, Zürich: Zürcher und Furrer, 1872.~ja~Wintersemester 1872/73
1873s~1873s.xml~Zürich~Sommer~1873~1873~Verzeichniss der Vorlesungen an der Hochschule Zürich im Sommer-Semester 1873. Anfang am 16. April 1873, Schluss am 16. August 1873, Zürich: Zürcher und Furrer, 1873.~ja~Sommersemester 1873
1873w~1873w.xml~Zürich~Winter~1873~1874~Verzeichniss der Vorlesungen an der Hochschule Zürich im Winter-Semester 1873/4. Anfang am 21. Oktober 1873, Schluss am 21. März 1874, Zürich: Zürcher und Furrer, 1873.~ja~Wintersemester 1873/74
1874s~1874s.xml~Zürich~Sommer~1874~1874~Verzeichniss der Vorlesungen an der Hochschule Zürich im Sommer-Semester 1874. Anfang am 13. April 1874, Schluss am 15. August 1874, Zürich: Zürcher und Furrer, 1874.~ja~Sommersemester 1874
1874w~1874w.xml~Zürich~Winter~1874~1875~Verzeichniss der Vorlesungen an der Hochschule Zürich im Winter-Semester 1874/75. Anfang am 20. Oktober 1874, Schluss am 20. März 1875, Zürich: Zürcher und Furrer, 1874.~ja~Wintersemester 1874/75
1875s~1875s.xml~Zürich~Sommer~1875~1875~Verzeichniss der Vorlesungen an der Hochschule Zürich im Sommer-Semester 1875. Anfang am 13. April 1875, Schluss am 14. August 1875, Zürich: Zürcher und Furrer, 1875.~ja~Sommersemester 1875
1875w~1875w.xml~Zürich~Winter~1875~1876~Verzeichniss der Vorlesungen an der Hochschule Zürich im Wintersemester 1875/76. Anfang am 18. Oktober 1875, Schluss am 18. März 1876, Zürich: Zürcher und Furrer, 1875.~ja~Wintersemester 1875/76
1876s~1876s.xml~Zürich~Sommer~1876~1876~Verzeichniss der Vorlesungen an der Hochschule Zürich im Sommersemester 1876. Anfang am 18. April 1876, Schluss am 12. August 1876, Zürich: Zürcher und Furrer, 1876.~ja~Sommersemester 1876
1876w~1876w.xml~Zürich~Winter~1876~1877~Verzeichniss der Vorlesungen an der Hochschule Zürich im Wintersemester 1876/77. Anfang am 16. Oktober 1876, Schluss am 17. März 1877, Zürich: Zürcher und Furrer, 1876.~ja~Wintersemester 1876/77
1877s~1877s.xml~Zürich~Sommer~1877~1877~Verzeichniss der Vorlesungen an der Hochschule Zürich im Sommersemester 1877. Anfang am 16. April, Schluss am 18. August 1877, Zürich: Zürcher und Furrer, 1877.~ja~Sommersemester 1877
1877w~1877w.xml~Zürich~Winter~1877~1878~Verzeichniss der Vorlesungen an der Hochschule Zürich im Wintersemester 1877/78. Anfang am 17. Oktober 1877, Schluss am 16. März 1878, Zürich: Zürcher und Furrer, 1877.~ja~Wintersemester 1877/78
1878s~1878s.xml~Zürich~Sommer~1878~1878~Verzeichniss der Vorlesungen an der Hochschule Zürich im Sommersemester 1878. Anfang am 15. April, Schluss am 17. August 1878, Zürich: Zürcher und Furrer, 1878.~ja~Sommersemester 1878
1878w~1878w.xml~Zürich~Winter~1878~1879~Verzeichniss der Vorlesungen an der Hochschule Zürich im Wintersemester 1878/79. Anfang am 21. Oktober 1878, Schluss am 15. März 1879, Zürich: Zürcher und Furrer, 1878.~ja~Wintersemester 1878/79
1879s~1879s.xml~Zürich~Sommer~1879~1879~Verzeichniss der Vorlesungen an der Hochschule Zürich im Sommersemester 1879. Anfang am 21. April 1878, Schluss am 16. August 1879, Zürich: Zürcher und Furrer, 1879.~ja~Sommersemester 1879
